assembly,village,candidate,party,votes,rank_in_ac,is_top4
Adampur,Kalirawan,Baljeet Singh,,0,11,0
Adampur,Kalirawan,Amit,,0,12,0
Adampur,Khairampur,Chander Parkash S/O Arjun Lal,INC,1432,1,1
Adampur,Khairampur,Bhavya Bishnoi,BJP,1248,2,1
Adampur,Khairampur,Randeep Choudaryvas,INLD,74,3,1
Adampur,Khairampur,Bhupender Beniwal,,9,4,1
Adampur,Khairampur,Krishan Gangwa Parjapati,JJP,8,5,0
Adampur,Khairampur,Rajesh Kumar,,5,6,0
Adampur,Khairampur,Ramphal,,5,7,0
Adampur,Khairampur,Renu Chahal Balsamand,,2,8,0
Adampur,Khairampur,Parmod Baswana,,0,9,0
Adampur,Khairampur,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Khairampur,Baljeet Singh,,2,11,0
Adampur,Khairampur,Amit,,2,12,0
Adampur,Khara Barwala,Chander Parkash S/O Arjun Lal,INC,621,1,1
Adampur,Khara Barwala,Bhavya Bishnoi,BJP,809,2,1
Adampur,Khara Barwala,Randeep Choudaryvas,INLD,9,3,1
Adampur,Khara Barwala,Bhupender Beniwal,,9,4,1
Adampur,Khara Barwala,Krishan Gangwa Parjapati,JJP,7,5,0
Adampur,Khara Barwala,Rajesh Kumar,,3,6,0
Adampur,Khara Barwala,Ramphal,,5,7,0
Adampur,Khara Barwala,Renu Chahal Balsamand,,2,8,0
Adampur,Khara Barwala,Parmod Baswana,,3,9,0
Adampur,Khara Barwala,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Khara Barwala,Baljeet Singh,,0,11,0
Adampur,Khara Barwala,Amit,,0,12,0
Adampur,Kharia,Chander Parkash S/O Arjun Lal,INC,1578,1,1
Adampur,Kharia,Bhavya Bishnoi,BJP,975,2,1
Adampur,Kharia,Randeep Choudaryvas,INLD,28,3,1
Adampur,Kharia,Bhupender Beniwal,,17,4,1
Adampur,Kharia,Krishan Gangwa Parjapati,JJP,13,5,0
Adampur,Kharia,Rajesh Kumar,,19,6,0
Adampur,Kharia,Ramphal,,1,7,0
Adampur,Kharia,Renu Chahal Balsamand,,5,8,0
Adampur,Kharia,Parmod Baswana,,4,9,0
Adampur,Kharia,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Kharia,Baljeet Singh,,4,11,0
Adampur,Kharia,Amit,,0,12,0
Adampur,Khassa Mahajan,Chander Parkash S/O Arjun Lal,INC,1342,1,1
Adampur,Khassa Mahajan,Bhavya Bishnoi,BJP,481,2,1
Adampur,Khassa Mahajan,Randeep Choudaryvas,INLD,75,3,1
Adampur,Khassa Mahajan,Bhupender Beniwal,,25,4,1
